0	182	086	129	211	185	185	041	174	106	018	073	186	071	026	233	288	212	201	183	290	208	093	373	453
182	0	107	142	195	022	050	144	085	165	200	109	167	114	208	128	231	036	144	126	231	045	272	305	396
086	107	0	167	249	099	099	058	088	151	104	026	100	050	112	208	252	126	167	162	264	122	179	308	417
129	142	167	0	082	164	115	163	220	023	146	148	267	124	136	270	341	178	254	236	343	187	158	426	506
211	195	249	082	0	217	175	245	280	105	228	230	349	206	218	323	423	231	336	318	425	240	240	500	588
185	022	099	164	217	0	072	144	063	187	203	125	145	114	211	119	209	027	122	104	211	023	272	283	374
185	050	099	115	175	072	0	144	127	138	203	117	199	114	211	167	271	075	184	166	270	085	272	355	436
041	144	058	163	245	144	144	0	146	140	059	046	158	039	067	201	256	171	169	151	258	167	134	341	421
174	085	088	220	280	063	127	146	0	237	192	112	082	136	200	120	178	088	079	095	180	065	267	240	343
106	165	151	023	105	187	138	140	237	0	123	125	251	113	113	275	330	201	243	225	332	210	135	415	495
018	200	104	146	228	203	203	059	192	123	0	091	204	089	022	251	306	230	219	201	308	226	087	391	471
073	109	026	148	230	125	117	046	112	125	091	0	126	024	099	186	241	145	154	136	243	148	166	326	406
186	167	100	267	349	145	199	158	082	251	204	126	0	150	212	158	189	170	096	114	187	147	279	208	321
071	114	050	124	206	114	114	039	136	113	089	024	150	0	097	162	217	141	130	112	219	137	158	302	382
026	208	112	136	218	211	211	067	200	113	022	099	212	097	0	259	314	238	227	209	316	234	067	399	479
233	128	208	270	323	119	167	201	120	275	251	186	158	162	259	0	114	092	068	050	103	108	320	206	279
288	231	252	341	423	209	271	256	178	330	306	241	189	217	314	114	0	203	099	105	036	186	375	094	165
212	036	126	178	231	027	075	171	088	201	230	145	170	141	238	092	203	0	116	098	195	023	299	288	368
201	144	167	254	336	122	184	169	079	243	219	154	096	130	227	068	099	116	0	018	101	099	288	193	263
183	126	162	236	318	104	166	151	095	225	201	136	114	112	209	050	105	098	018	0	107	081	270	190	270
290	231	264	343	425	211	270	258	180	332	308	243	187	219	316	103	036	195	101	107	0	188	377	128	195
208	045	122	187	240	023	085	167	065	210	226	148	147	137	234	108	186	023	099	081	188	0	295	271	351
093	272	179	158	240	272	272	134	267	135	087	166	279	158	067	320	375	299	288	270	377	295	0	460	540
373	305	308	426	500	283	355	341	240	415	391	326	208	302	399	206	094	288	193	190	128	271	460	0	113
453	396	417	506	588	374	436	421	343	495	471	406	321	382	479	279	165	368	264	270	195	351	540	113	0
